DebateId,Judge 1 (gemma-4-31b-it) winner,Judge 1 (gemma-4-31b-it) winningPosition,Judge 1 (gemma-4-31b-it) confidence,Judge 2 (qwen3-30b-a3b-instruct-2507) winner,Judge 2 (qwen3-30b-a3b-instruct-2507) winningPosition,Judge 2 (qwen3-30b-a3b-instruct-2507) confidence,Judge 3 (glm-4.7) winner,Judge 3 (glm-4.7) winningPosition,Judge 3 (glm-4.7) confidence
224,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
225,gemma-4-31b-it,B,0.80,apertus-70b-instruct-2509,A,0.95,gemma-4-31b-it,B,0.75
226,Tie,Tie,0.85,Tie,Tie,0.92,gemma-4-31b-it,B,0.60
227,Tie,Tie,0.85,apertus-70b-instruct-2509,B,0.95,gemma-4-31b-it,A,0.75
228,Tie,Tie,0.90,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.75
229,Tie,Tie,0.90,meta-llama-3.1-8b-instruct,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
230,Tie,Tie,0.85,meta-llama-3.1-8b-instruct,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
231,Tie,Tie,0.80,meta-llama-3.1-8b-instruct,B,0.95,meta-llama-3.1-8b-instruct,B,0.85
232,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,A,0.95,meta-llama-3.1-8b-instruct,B,0.85
233,meta-llama-3.1-8b-instruct,A,0.90,meta-llama-3.1-8b-instruct,A,0.95,meta-llama-3.1-8b-instruct,A,0.70
234,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.60
235,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.80
236,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,meta-llama-3.1-8b-instruct,B,0.80
237,Tie,Tie,0.85,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
238,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.60
239,Tie,Tie,0.80,gemma-4-31b-it,A,0.85,gemma-4-31b-it,A,0.60
240,Tie,Tie,0.85,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.75
